room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1782,1991,Private room,Hounslow,Cranford,8,4.5,4,1.0,42.0,1,51.473306,-0.401079,2014-05-13 18:06:56.136
6487,11077537,Private room,Haringey,Crouch End,167,4.5,2,1.0,123.0,2,51.574172,-0.129405,2014-05-13 10:39:07.638
9293,29896,Private room,Kensington and Chelsea,Chelsea Riverside,77,4.5,4,1.0,151.0,1,51.482968,-0.174777,2014-05-13 10:10:34.433
9554,31655,Private room,Haringey,Harringay,55,5.0,2,1.0,61.0,2,51.587767,-0.105666,2014-05-13 10:24:15.185
9607,31968,Private room,Lambeth,Clapham Town,1,4.5,1,1.0,104.0,1,51.466078,-0.133797,2014-05-13 12:54:29.173
11067,40327,Entire home/apt,Hackney,Haggerston,0,,7,2.0,312.0,4,51.536689,-0.076153,2014-05-13 09:21:10.360
11076,40471,Private room,Ealing,Ealing Broadway,0,,2,1.0,132.0,2,51.515645,-0.314508,2014-05-13 09:44:50.111
11551,43039,Entire home/apt,Lambeth,Ferndale,117,4.5,4,1.0,189.0,2,51.462254,-0.117324,2014-05-13 08:05:37.924
13913,54730,Private room,Islington,Tollington,8,4.5,2,1.0,93.0,1,51.568017,-0.111208,2014-05-13 10:45:41.201
14344,53348,Private room,Camden,Gospel Oak,118,4.0,2,1.0,47.0,1,51.550621,-0.153887,2014-05-13 06:59:46.900
14613,57474,Private room,Westminster,Hyde Park,1,2.5,2,1.0,95.0,1,51.513213,-0.176339,2014-05-13 07:38:34.379
15400,60302,Entire home/apt,Kensington and Chelsea,Stanley,37,5.0,2,1.0,180.0,3,51.48792,-0.168103,2014-05-13 08:31:13.243
16105,62822,Entire home/apt,Hackney,Hoxton East & Shoreditch,15,4.5,2,,161.0,2,51.524921,-0.078051,2014-05-13 17:31:22.598
17402,67564,Entire home/apt,Camden,Bloomsbury,19,4.5,6,3.0,437.0,3,51.521874,-0.138341,2014-05-13 18:18:35.775
18317,37014,Entire home/apt,Richmond upon Thames,Kew,7,5.0,5,2.0,237.0,3,51.470723,-0.290196,2014-05-13 13:11:57.810
18646,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5.0,6,3.0,549.0,3,51.535615,-0.079017,2014-05-13 16:38:40.719
18647,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5.0,8,3.0,577.0,3,51.528852,-0.080505,2014-05-13 16:41:46.201
18649,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,4,4.5,3,,246.0,3,51.529854,-0.081532,2014-05-13 16:47:12.709
18650,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,,3,1.0,303.0,3,51.528572,-0.081756,2014-05-13 16:49:40.690
21759,1245194,Entire home/apt,Hackney,Hoxton East & Shoreditch,10,5.0,6,2.0,322.0,2,51.526593,-0.080295,2014-05-13 18:33:06.090
23616,93107,Private room,Merton,Raynes Park,48,5.0,4,1.0,142.0,2,51.413373,-0.235151,2014-05-13 09:34:16.262
23859,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,1,5.0,3,1.0,246.0,3,51.52923,-0.080532,2014-05-13 09:00:20.175
23977,94861,Private room,Kensington and Chelsea,Colville,2,5.0,2,1.0,189.0,2,51.512665,-0.203618,2014-05-13 14:34:32.594
24108,30780,Private room,Southwark,South Camberwell,17,4.5,1,1.0,79.0,3,51.469507,-0.082122,2014-05-13 08:41:26.425
24328,41759,Entire home/apt,Wandsworth,St. Mary's Park,30,5.0,6,2.0,303.0,1,51.474514,-0.164482,2014-05-13 07:00:18.354
24903,54987,Entire home/apt,Tower Hamlets,Limehouse,3,4.0,5,2.0,377.0,3,51.51154,-0.037023,2014-05-13 09:54:16.152
25121,40327,Entire home/apt,Southwark,Grange,0,,8,3.0,530.0,3,51.498978,-0.079701,2014-05-13 08:12:45.349
25123,103583,Private room,Barnet,Childs Hill,60,5.0,2,1.0,66.0,5,51.572243,-0.20906,2014-05-13 08:18:28.882
25978,40327,Entire home/apt,Hackney,Hoxton East & Shoreditch,2,4.5,3,1.0,246.0,3,51.530781,-0.082135,2014-05-13 12:19:13.035
26223,110865,Entire home/apt,Islington,St. Mary's,23,4.5,5,1.0,221.0,3,51.542362,-0.103796,2014-05-13 11:48:40.548
26482,110865,Entire home/apt,Islington,St. Mary's,19,4.5,4,1.0,221.0,3,51.53915,-0.10137,2014-05-13 11:57:10.404
26713,113767,Private room,Westminster,Little Venice,112,4.5,3,1.0,74.0,1,51.522826,-0.187265,2014-05-13 10:46:06.236
26810,113767,Private room,Westminster,Westbourne,64,4.5,2,1.0,74.0,1,51.523752,-0.188886,2014-05-13 15:18:37.241
27173,116483,Private room,Wandsworth,Earlsfield,2,5.0,1,1.0,66.0,2,51.448076,-0.186985,2014-05-13 08:24:07.565
28010,119316,Private room,Tower Hamlets,Weavers,4,5.0,3,1.0,114.0,2,51.523611,-0.073251,2014-05-13 11:33:16.541
28311,54987,Entire home/apt,Tower Hamlets,Canary Wharf,7,3.5,5,2.0,397.0,3,51.500419,-0.01917,2014-05-13 13:41:43.598
28457,54987,Entire home/apt,Tower Hamlets,Canary Wharf,4,4.5,5,2.0,377.0,3,51.499312,-0.027412,2014-05-13 08:34:05.233
29256,125781,Entire home/apt,Barnet,Coppetts,1,5.0,8,4.0,284.0,7,51.615092,-0.158291,2014-05-13 09:57:39.542
29453,126604,Private room,Merton,Hillside,120,5.0,2,1.0,95.0,2,51.427037,-0.203383,2014-05-13 07:17:27.691
29837,128581,Entire home/apt,Camden,Highgate,60,5.0,4,1.0,360.0,5,51.558691,-0.155184,2014-05-13 13:12:38.166
30352,131087,Private room,Hackney,Dalston,14,5.0,2,1.0,142.0,1,51.545979,-0.074363,2014-05-13 13:20:53.271
30669,132044,Private room,Lambeth,Brixton Hill,52,4.5,2,1.0,93.0,2,51.456278,-0.122242,2014-05-13 16:12:29.687
30671,132046,Private room,Barnet,Golders Green,7,5.0,2,1.0,66.0,1,51.567205,-0.218111,2014-05-13 16:18:55.871
31149,133833,Private room,Richmond upon Thames,East Sheen,0,,2,1.0,95.0,1,51.465914,-0.271808,2014-05-13 14:45:30.059
31361,134606,Private room,Newham,Plaistow North,31,5.0,2,1.0,66.0,1,51.534841,0.027071,2014-05-13 12:39:57.258
32177,138843,Entire home/apt,Kensington and Chelsea,Brompton & Hans Town,36,4.0,2,1.0,187.0,5,51.491308,-0.166376,2014-05-13 14:55:16.769
34144,147223,Entire home/apt,Camden,Holborn and Covent Garden,5,5.0,5,2.0,303.0,6,51.515499,-0.125495,2014-05-13 11:05:32.137
34575,149266,Entire home/apt,Islington,Caledonian,5,5.0,2,1.0,161.0,7,51.540928,-0.1192,2014-05-13 07:23:42.646
34825,150078,Private room,Camden,King's Cross,66,5.0,4,1.0,85.0,1,51.525131,-0.117492,2014-05-13 07:03:47.309
35203,12106397,Private room,Camden,Bloomsbury,0,,2,1.0,284.0,1,51.519167,-0.124834,2014-05-13 12:45:07.746
35337,152128,Private room,Kingston upon Thames,St. Mark's,4,5.0,1,1.0,64.0,2,51.399453,-0.291019,2014-05-13 07:03:49.908
36299,155938,Entire home/apt,Richmond upon Thames,Kew,22,5.0,5,3.0,369.0,3,51.479345,-0.280662,2014-05-13 16:07:12.157
36551,157191,Private room,Southwark,Riverside,112,5.0,2,1.0,151.0,1,51.50261,-0.077331,2014-05-13 15:56:35.354
36657,157884,Private room,Haringey,Fortis Green,132,5.0,3,1.0,95.0,2,51.584371,-0.16283,2014-05-13 08:54:32.474
36660,157884,Private room,Haringey,Fortis Green,223,5.0,2,1.0,84.0,2,51.584612,-0.161696,2014-05-13 09:03:29.689
38151,163634,Private room,Croydon,Upper Norwood,0,,2,1.0,123.0,1,51.419397,-0.087219,2014-05-13 06:57:49.437
38407,164566,Entire home/apt,Tower Hamlets,Canary Wharf,49,5.0,3,1.0,161.0,2,51.499945,-0.026243,2014-05-13 06:57:56.449
38605,165579,Private room,Hammersmith and Fulham,Shepherd's Bush Green,110,5.0,2,1.0,106.0,2,51.506642,-0.233138,2014-05-13 16:12:49.113
38610,165579,Entire home/apt,Hammersmith and Fulham,Shepherd's Bush Green,2,4.5,11,5.0,549.0,7,51.508094,-0.233342,2014-05-13 16:28:47.501
39387,168920,Private room,Westminster,Harrow Road,0,,2,1.0,93.0,1,51.525888,-0.199425,2014-05-13 16:53:14.239
39571,169878,Entire home/apt,Hackney,Victoria,31,4.5,6,2.0,189.0,1,51.535617,-0.055191,2014-05-13 13:30:23.384
40137,172289,Entire home/apt,Haringey,Muswell Hill,79,4.5,2,1.0,104.0,3,51.586822,-0.128324,2014-05-13 16:02:08.604
40738,166236,Entire home/apt,Hackney,Haggerston,28,4.5,4,1.0,227.0,2,51.52871,-0.076116,2014-05-13 08:16:30.625
40925,168259,Private room,Waltham Forest,Cann Hall,23,4.5,2,1.0,76.0,2,51.556994,0.014056,2014-05-13 16:58:39.268
41311,103583,Private room,Barnet,Golders Green,23,5.0,2,1.0,66.0,5,51.573754,-0.208903,2014-05-13 11:03:13.611
41509,181028,Private room,Hounslow,Turnham Green,22,4.5,2,1.0,114.0,1,51.491567,-0.256,2014-05-13 08:24:46.660
