local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000006,Bromley,E01000715,Bromley 012C,365000,360000
E09000008,Croydon,E01001137,Croydon 001A,340000,470000
E09000028,Southwark,E01003923,Southwark 017A,599500,590000
E09000012,Hackney,E01001781,Hackney 026B,442500,
E09000022,Lambeth,E01003127,Lambeth 010E,461000,705000
E09000026,Redbridge,E01003778,Redbridge 014E,421800,447500
E09000003,Barnet,E01000287,Barnet 004B,445000,539000
E09000009,Ealing,E01001346,Ealing 007B,450000,500000
E09000011,Greenwich,E01001666,Greenwich 036A,399995,465000
E09000014,Haringey,E01002033,Haringey 010D,493750,558750
E09000005,Brent,E01000590,Brent 001C,384000,482500
E09000014,Haringey,E01002085,Haringey 019C,436750,608500
E09000005,Brent,E01000619,Brent 017E,443475,485000
E09000015,Harrow,E01002216,Harrow 028C,525000,514000
E09000019,Islington,E01002804,Islington 001D,507500,525000
E09000028,Southwark,E01003995,Southwark 014B,486000,465000
E09000028,Southwark,E01004024,Southwark 011C,367500,370000
E09000031,Waltham Forest,E01004464,Waltham Forest 013C,652500,
E09000014,Haringey,E01002064,Haringey 036C,482000,474000
E09000003,Barnet,E01000296,Barnet 023C,460000,434450
E09000021,Kingston upon Thames,E01033569,Kingston upon Thames 004G,397500,525000
E09000009,Ealing,E01001339,Ealing 029F,280000,550000
E09000009,Ealing,E01001347,Ealing 007C,458000,
E09000012,Hackney,E01001823,Hackney 001D,,250000
E09000008,Croydon,E01001106,Croydon 039C,451500,450000
E09000014,Haringey,E01002027,Haringey 010A,512500,535000
E09000022,Lambeth,E01003077,Lambeth 014D,488500,640000
E09000023,Lewisham,E01003299,Lewisham 003B,625500,522500
E09000029,Sutton,E01004119,Sutton 009C,440000,500000
E09000022,Lambeth,E01003117,Lambeth 029B,485000,488750
E09000009,Ealing,E01001285,Ealing 016D,421750,480000
E09000009,Ealing,E01001350,Ealing 027C,475000,692500
E09000025,Newham,E01003503,Newham 030D,358750,400000
E09000031,Waltham Forest,E01004383,Waltham Forest 007D,550000,512750
E09000002,Barking and Dagenham,E01000069,Barking and Dagenham 011C,430000,537000
E09000004,Bexley,E01000395,Bexley 018B,430000,510000
E09000006,Bromley,E01000778,Bromley 024E,460000,500000
E09000008,Croydon,E01001100,Croydon 031E,345000,440000
E09000009,Ealing,E01001252,Ealing 030B,450000,590000
E09000009,Ealing,E01001280,Ealing 011D,557500,477500
E09000012,Hackney,E01001724,Hackney 006B,393500,426500
E09000014,Haringey,E01002028,Haringey 010B,505000,527500
E09000015,Harrow,E01002119,Harrow 007A,337500,375000
E09000015,Harrow,E01002136,Harrow 027B,437500,494975
E09000015,Harrow,E01002220,Harrow 031C,477500,474500
E09000015,Harrow,E01002241,Harrow 025D,490000,510000
E09000018,Hounslow,E01002635,Hounslow 010D,410000,500000
E09000018,Hounslow,E01002655,Hounslow 019C,441000,480000
E09000021,Kingston upon Thames,E01002948,Kingston upon Thames 020C,410000,410000
E09000021,Kingston upon Thames,E01002976,Kingston upon Thames 015A,445000,492500
E09000030,Tower Hamlets,E01004211,Tower Hamlets 013D,570000,558000
E09000031,Waltham Forest,E01004366,Waltham Forest 019C,550000,591500
E09000031,Waltham Forest,E01004411,Waltham Forest 016D,366500,685000
E09000031,Waltham Forest,E01004417,Waltham Forest 005C,419000,472500
E09000031,Waltham Forest,E01004445,Waltham Forest 018C,511000,581250
E09000033,Westminster,E01004675,Westminster 005B,540000,487500
E09000026,Redbridge,E01003691,Redbridge 035B,525000,
E09000008,Croydon,E01001022,Croydon 044E,449500,455000
E09000008,Croydon,E01001029,Croydon 038B,357475,480000
E09000010,Enfield,E01001473,Enfield 013C,605000,588000
E09000020,Kensington and Chelsea,E01002852,Kensington and Chelsea 001A,540000,483750
E09000030,Tower Hamlets,E01004217,Tower Hamlets 030C,462500,565000
E09000006,Bromley,E01000765,Bromley 034D,520000,490000
E09000031,Waltham Forest,E01004409,Waltham Forest 016C,420000,699000
E09000032,Wandsworth,E01004548,Wandsworth 029D,428626,499995
E09000015,Harrow,E01002232,Harrow 011A,363475,467500
E09000008,Croydon,E01001020,Croydon 044C,430000,480000
E09000012,Hackney,E01001834,Hackney 014E,600000,595000
E09000019,Islington,E01002715,Islington 019E,350000,488000
E09000015,Harrow,E01002227,Harrow 003A,545000,490000
E09000004,Bexley,E01000339,Bexley 025A,429500,452500
E09000005,Brent,E01000554,Brent 015B,437475,450000
E09000009,Ealing,E01001343,Ealing 005C,495000,482500
E09000014,Haringey,E01001983,Haringey 018D,502500,555000
E09000015,Harrow,E01002198,Harrow 010C,465000,500000
E09000018,Hounslow,E01002618,Hounslow 011A,443250,527500
E09000019,Islington,E01002807,Islington 001E,365000,492750
E09000022,Lambeth,E01003169,Lambeth 025D,551500,571000
E09000026,Redbridge,E01003763,Redbridge 009E,474975,473000
E09000030,Tower Hamlets,E01032778,Tower Hamlets 028G,484650,540240
E09000031,Waltham Forest,E01004438,Waltham Forest 024C,454000,616500
E09000003,Barnet,E01000294,Barnet 004F,442500,622500
E09000012,Hackney,E01001780,Hackney 027D,483750,460000
E09000017,Hillingdon,E01002415,Hillingdon 010A,460000,513500
E09000003,Barnet,E01000277,Barnet 012B,512500,505000
E09000022,Lambeth,E01003128,Lambeth 008E,,410000
E09000005,Brent,E01000609,Brent 016C,268000,415000
E09000022,Lambeth,E01003080,Lambeth 027B,523500,650000
E09000003,Barnet,E01000284,Barnet 012D,425000,502500
E09000030,Tower Hamlets,E01004202,Tower Hamlets 005B,435000,460000
E09000022,Lambeth,E01003041,Lambeth 017C,499950,425000
E09000014,Haringey,E01002103,Haringey 008C,480000,521250
E09000030,Tower Hamlets,E01004285,Tower Hamlets 019B,379000,402480
E09000018,Hounslow,E01002572,Hounslow 007B,540000,527500
E09000027,Richmond upon Thames,E01003843,Richmond upon Thames 013D,470000,475000
E09000026,Redbridge,E01003707,Redbridge 008A,477500,511500
E09000010,Enfield,E01001498,Enfield 029B,441000,405000
E09000003,Barnet,E01000302,Barnet 019C,421250,450000
E09000003,Barnet,E01000307,Barnet 039D,487500,521250
E09000004,Bexley,E01000423,Bexley 025C,450000,545440
E09000005,Brent,E01000612,Brent 019B,482500,530000
E09000005,Brent,E01000624,Brent 005D,477544,483750
E09000006,Bromley,E01000664,Bromley 026D,400000,472500
E09000006,Bromley,E01000692,Bromley 002D,485000,500000
E09000006,Bromley,E01000752,Bromley 036D,406500,407000
E09000008,Croydon,E01001125,Croydon 033E,463000,499950
E09000009,Ealing,E01001266,Ealing 006B,478000,495000
E09000009,Ealing,E01001275,Ealing 020H,533875,530000
E09000011,Greenwich,E01001596,Greenwich 032A,501250,500000
E09000015,Harrow,E01002132,Harrow 029A,425000,515000
E09000017,Hillingdon,E01002466,Hillingdon 010B,450000,500000
