listings_x,price_sum_x,price_mean_x,price_median,price_std_x,lq_x,uq_x,listings_y,price_sum_y,price_mean_y,price_std_y,lq_y,uq_y,change_listings,change_price_sum,change_price_mean,change_price_std,change_lq,change_uq,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,latitude,longitude,geometry,medianincome,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021,house_price_change_16to21,deprivation,gent
3,252,84,75,81.87185108,41,122.5,0,0,0,0,0,0,3,252,84,75,81.87,41,E01001122,Croydon 033B,E02000226,Croydon 033,E09000008,Croydon,E12000007,London,1539,1384,155,12.4,507,2.7,534485.2692,163652.2023,POINT (534485.2692 163652.2023),47810,530000,625000,95000,8,0.36
2,430,215,215,49.49747468,197.5,232.5,0,0,0,0,0,0,2,430,215,215,49.5,197.5,E01001123,Croydon 033C,E02000226,Croydon 033,E09000008,Croydon,E12000007,London,1514,1514,0,20.2,598,2.5,535127.6678,163183.4069,POINT (535127.6678000001 163183.4069),46220,462500,487500,25000,8,0.38
2,116,58,58,15.55634919,52.5,63.5,0,0,0,0,0,0,2,116,58,58,15.56,52.5,E01001125,Croydon 033E,E02000226,Croydon 033,E09000008,Croydon,E12000007,London,1650,1650,0,42.5,602,2.7,534944.6979,162289.2086,POINT (534944.6979 162289.2086),43840,463000,499950,36950,7,0.38
2,370,185,185,219.2031022,107.5,262.5,1,44,44,0,44,44,1,326,141,185,175.2,63.5,E01001131,Croydon 018C,E02000211,Croydon 018,E09000008,Croydon,E12000007,London,1563,1563,0,95.4,685,2.3,536475.5275,167160.8057,POINT (536475.5275 167160.8057),38890,333000,356250,23250,7,0.48
2,65,32.5,32.5,3.535533906,31.25,33.75,1,33,33,0,33,33,1,32,-0.5,32.5,-29.46,-1.75,E01001133,Croydon 026E,E02000219,Croydon 026,E09000008,Croydon,E12000007,London,1557,1557,0,39,726,2.1,536443.6994,165977.2803,POINT (536443.6994 165977.2803),39770,337500,385000,47500,7,0.43
2,65,32.5,32.5,10.60660172,28.75,36.25,0,0,0,0,0,0,2,65,32.5,32.5,10.61,28.75,E01001134,Croydon 018E,E02000211,Croydon 018,E09000008,Croydon,E12000007,London,1617,1617,0,43,697,2.3,535676.3329,166176.1999,POINT (535676.3329 166176.1999),40380,350000,375000,25000,8,0.42
3,111,37,36,12.52996409,30.5,43,3,82,27.33333333,0.577350269,27,27.5,0,29,9.67,35.42,-14.47,3,E01001135,Croydon 025D,E02000218,Croydon 025,E09000008,Croydon,E12000007,London,1646,1646,0,36.5,631,2.6,537200.45,165802.2066,POINT (537200.45 165802.2066),41010,521500,549950,28450,9,0.39
7,278,39.71428571,35,14.31449482,31,48,10,624,62.4,32.26349847,40,61.5,-3,-346,-22.69,2.74,-25.69,-30.5,E01001136,Croydon 007A,E02000200,Croydon 007,E09000008,Croydon,E12000007,London,1880,1828,52,66.7,927,2,533789.0216,168194.1246,POINT (533789.0216 168194.1246),31970,265000,302500,37500,3,0.54
12,1122,93.5,88.5,35.9760021,76.25,110,9,578,64.22222222,30.95471603,35,82,3,544,29.28,57.55,0.98,-5.75,E01001137,Croydon 001A,E02000194,Croydon 001,E09000008,Croydon,E12000007,London,1769,1739,30,49.8,875,2,533289.0405,169996.3685,POINT (533289.0405 169996.3685),37860,340000,470000,130000,4,0.54
6,415,69.16666667,67.5,27.64356465,53.75,92.5,6,285,47.5,26.64394866,29.75,56.75,0,130,21.67,40.86,-2.11,-3,E01001138,Croydon 001B,E02000194,Croydon 001,E09000008,Croydon,E12000007,London,1582,1582,0,60.3,774,2,533764.9839,169916.415,POINT (533764.9839 169916.415),39490,387500,430000,42500,5,0.54
10,465,46.5,37.5,30.39097088,28.5,52.25,3,294,98,46.87216658,71.5,116,7,171,-51.5,-9.37,-41.11,-87.5,E01001139,Croydon 007B,E02000200,Croydon 007,E09000008,Croydon,E12000007,London,1602,1602,0,86.9,694,2.3,533436.0257,168824.5121,POINT (533436.0257 168824.5121),36290,320000,415000,95000,5,0.42
5,356,71.2,50,50.09690609,45,75,7,381,54.42857143,39.05917367,35,53.5,-2,-25,16.77,10.94,15.1,-8.5,E01001140,Croydon 007C,E02000200,Croydon 007,E09000008,Croydon,E12000007,London,1613,1573,40,46,773,2,533617.9204,169455.3592,POINT (533617.9203999999 169455.3592),36780,315000,347500,32500,4,0.53
4,270,67.5,70,31.22498999,48.75,88.75,3,219,73,43.8634244,49,92,1,51,-5.5,26.14,-17.78,-43.25,E01001141,Croydon 008A,E02000201,Croydon 008,E09000008,Croydon,E12000007,London,1246,1246,0,81.5,568,2.2,534118.5387,169072.479,POINT (534118.5387 169072.479),33550,255000,275000,20000,3,0.45
8,481,60.125,50,29.23030472,45,78.75,7,460,65.71428571,40.87670195,41,72.5,1,21,-5.59,9.12,-11.77,-27.5,E01001142,Croydon 007D,E02000200,Croydon 007,E09000008,Croydon,E12000007,London,1526,1526,0,49.2,620,2.5,533880.0893,168983.9057,POINT (533880.0893 168983.9057),38580,352500,550000,197500,5,0.46
2,90,45,45,21.21320344,37.5,52.5,3,172,57.33333333,27.30079364,48,73,-1,-82,-12.33,17.7,-26.79,-35.5,E01001143,Croydon 008B,E02000201,Croydon 008,E09000008,Croydon,E12000007,London,1941,1941,0,86.8,848,2.3,534446.6361,168760.0569,POINT (534446.6361 168760.0569),32920,287500,390000,102500,3,0.47
6,373,62.16666667,57.5,29.45787953,36.25,85.5,3,163,54.33333333,7.505553499,50,56.5,3,210,7.83,49.99,-20.54,-20.25,E01001144,Croydon 007E,E02000200,Croydon 007,E09000008,Croydon,E12000007,London,1673,1663,10,139.2,797,2.1,533558.7832,168503.8313,POINT (533558.7831999999 168503.8313),32780,295000,340982,45982,2,0.49
4,125,31.25,30,7.5,25,36.25,2,82,41,12.72792206,36.5,45.5,2,43,-9.75,17.27,-29,-20.5,E01001145,Croydon 008C,E02000201,Croydon 008,E09000008,Croydon,E12000007,London,1686,1686,0,120.7,848,2,534261.0492,168480.0208,POINT (534261.0492 168480.0208),29830,281750,205000,-76750,2,0.64
5,142,28.4,25,5.639148872,25,34,4,196,49,40.07492982,24.25,59.75,1,-54,-20.6,-15.07,-18.61,-34.75,E01001146,Croydon 006A,E02000199,Croydon 006,E09000008,Croydon,E12000007,London,1615,1615,0,122.5,607,2.7,532637.0362,169134.5107,POINT (532637.0362 169134.5107),35770,350000,386250,36250,5,0.47
10,519,51.9,34.5,35.05059835,24,79,0,0,0,0,0,0,10,519,51.9,34.5,35.05,24,E01001147,Croydon 005A,E02000198,Croydon 005,E09000008,Croydon,E12000007,London,1622,1621,1,80.7,620,2.6,531995.8924,169163.1661,POINT (531995.8924 169163.1661),32160,286000,292500,6500,2,0.46
13,427,32.84615385,24,24.55214232,20,31,1,30,30,0,30,30,12,397,2.85,24,-5.45,-10,E01001148,Croydon 005B,E02000198,Croydon 005,E09000008,Croydon,E12000007,London,1613,1605,8,113.4,673,2.4,532503.5006,169357.4312,POINT (532503.5006 169357.4312),35020,280000,387000,107000,4,0.44
7,189,27,25,8.346656017,25,30,3,75,25,6.557438524,21.5,28,4,114,2,18.44,-13.15,-3,E01001149,Croydon 006B,E02000199,Croydon 006,E09000008,Croydon,E12000007,London,1572,1572,0,114.7,619,2.5,532960.7983,169208.5376,POINT (532960.7983 169208.5376),36880,335000,297000,-38000,6,0.48
8,243,30.375,27.5,10.67624198,22.25,36.25,7,256,36.57142857,14.1286605,27.5,41.5,1,-13,-6.2,13.37,-16.82,-19.25,E01001150,Croydon 006C,E02000199,Croydon 006,E09000008,Croydon,E12000007,London,1655,1652,3,59.6,620,2.7,533088.6232,168889.2797,POINT (533088.6232 168889.2797),38660,387500,457500,70000,5,0.47
10,935,93.5,37.5,156.5668121,32.75,53,3,120,40,12.489996,35,47,7,815,53.5,25.01,121.57,-14.25,E01001151,Croydon 005C,E02000198,Croydon 005,E09000008,Croydon,E12000007,London,1600,1569,31,95.8,671,2.3,532001.2031,168838.1724,POINT (532001.2031 168838.1724),32110,284000,260000,-24000,2,0.46
13,566,43.53846154,25,32.08742065,23,55,2,116,58,25.45584412,49,67,11,450,-14.46,-0.46,-16.91,-44,E01001152,Croydon 005D,E02000198,Croydon 005,E09000008,Croydon,E12000007,London,1671,1662,9,97.1,674,2.5,532314.8165,168738.6085,POINT (532314.8165 168738.6085),33160,233500,300000,66500,2,0.46
3,116,38.66666667,25,27.20906712,23,47.5,0,0,0,0,0,0,3,116,38.67,25,27.21,23,E01001153,Croydon 006D,E02000199,Croydon 006,E09000008,Croydon,E12000007,London,1619,1617,2,115.7,591,2.7,532661.367,168691.4568,POINT (532661.367 168691.4568),36360,350000,424650,74650,4,0.45
3,346,115.3333333,48,116.6247544,48,149,1,45,45,0,45,45,2,301,70.33,48,71.62,3,E01001154,Croydon 006E,E02000199,Croydon 006,E09000008,Croydon,E12000007,London,1969,1967,2,111.7,735,2.7,532841.6754,168422.7714,POINT (532841.6753999999 168422.7714),33900,295000,340000,45000,3,0.47
5,275,55,41,22.89104628,38,80,2,117,58.5,43.13351365,43.25,73.75,3,158,-3.5,-2.13,-20.36,-35.75,E01001155,Croydon 010E,E02000203,Croydon 010,E09000008,Croydon,E12000007,London,1603,1591,12,118.2,761,2.1,532518.1903,168248.1653,POINT (532518.1903 168248.1653),30500,267500,375000,107500,2,0.45
9,976,108.4444444,100,45.20539545,70,130,4,307,76.75,15.52149048,75,83.75,5,669,31.69,84.48,-29.79,-13.75,E01001156,Croydon 001C,E02000194,Croydon 001,E09000008,Croydon,E12000007,London,1718,1638,80,61.8,721,2.3,532860.7546,170220.7297,POINT (532860.7546 170220.7297),37000,440000,525000,85000,4,0.55
2,177,88.5,88.5,74.24621202,62.25,114.75,3,116,38.66666667,9.865765725,33,42,-1,61,49.83,78.63,41.25,20.25,E01001157,Croydon 002B,E02000195,Croydon 002,E09000008,Croydon,E12000007,London,1703,1697,6,51.3,615,2.8,531810.2252,169969.6827,POINT (531810.2252 169969.6827),39010,550000,563000,13000,5,0.47
5,242,48.4,38,21.44294756,37,67,3,159,53,8.888194417,48,56.5,2,83,-4.6,29.11,-26.56,-19.5,E01001158,Croydon 005E,E02000198,Croydon 005,E09000008,Croydon,E12000007,London,1564,1564,0,74.5,700,2.2,532878.69,169639.0996,POINT (532878.6899999999 169639.0996),35960,330000,400000,70000,5,0.51
10,741,74.1,49.5,54.68790238,35,95,11,573,52.09090909,25.85905855,38,54,-1,168,22.01,23.64,16.69,-19,E01001159,Croydon 002C,E02000195,Croydon 002,E09000008,Croydon,E12000007,London,1801,1801,0,44.7,741,2.4,532318.505,170167.0381,POINT (532318.505 170167.0381),39640,465000,647000,182000,6,0.49
3,94,31.33333333,30,12.05542755,25,37,0,0,0,0,0,0,3,94,31.33,30,12.06,25,E01001160,Croydon 002D,E02000195,Croydon 002,E09000008,Croydon,E12000007,London,1881,1881,0,58.6,627,3,532093.9462,169654.0447,POINT (532093.9462 169654.0447),39230,500000,465000,-35000,7,0.45
4,171,42.75,35.5,18.35528988,33.75,44.5,3,235,78.33333333,44.61315202,57,101.5,1,-64,-35.58,-9.11,-38.64,-67.75,E01001162,Croydon 001D,E02000194,Croydon 001,E09000008,Croydon,E12000007,London,1724,1698,26,54.9,767,2.2,532615.8309,170646.5196,POINT (532615.8308999999 170646.5196),36300,377500,315000,-62500,3,0.52
6,315,52.5,40.5,33.96910361,40,47,7,409,58.42857143,45.66857834,27.5,66,-1,-94,-5.93,-5.17,6.47,-26,E01001163,Croydon 002E,E02000195,Croydon 002,E09000008,Croydon,E12000007,London,1939,1939,0,68.7,798,2.4,532080.5731,170774.6324,POINT (532080.5731 170774.6324),38480,405000,450000,45000,6,0.52
15,892,59.46666667,50,27.83334759,39.5,72.5,13,1000,76.92307692,33.85621937,44,107,2,-108,-17.46,16.14,-16.17,-67.5,E01001164,Croydon 001E,E02000194,Croydon 001,E09000008,Croydon,E12000007,London,1903,1879,24,104.2,962,2,533286.4161,170572.6551,POINT (533286.4161 170572.6551),39250,340000,510000,170000,5,0.58
6,233,38.83333333,36,7.494442385,35,44.5,4,155,38.75,2.5,38.75,40,2,78,0.08,33.5,-31.26,-5,E01001165,Croydon 024C,E02000217,Croydon 024,E09000008,Croydon,E12000007,London,1656,1656,0,91.7,676,2.4,531319.2971,165292.6588,POINT (531319.2971 165292.6588),36220,273500,325000,51500,4,0.47
6,370,61.66666667,75,26.77063067,41.25,78.75,2,190,95,8.485281374,92,98,4,180,-33.33,66.51,-65.23,-56.75,E01001166,Croydon 024D,E02000217,Croydon 024,E09000008,Croydon,E12000007,London,1814,1814,0,103.2,835,2.2,531902.2312,165189.3095,POINT (531902.2312 165189.3095),33550,295500,351633,56133,3,0.48
7,319,45.57142857,38,24.34376815,36.5,40,7,431,61.57142857,42.01530333,39,63,0,-112,-16,-4.02,-14.66,-26.5,E01001167,Croydon 028A,E02000221,Croydon 028,E09000008,Croydon,E12000007,London,2193,2193,0,38.9,829,2.6,531209.9973,164708.4084,POINT (531209.9973 164708.4084),35970,320000,450000,130000,4,0.45
3,135,45,41,12.489996,38,50,0,0,0,0,0,0,3,135,45,41,12.49,38,E01001168,Croydon 024E,E02000217,Croydon 024,E09000008,Croydon,E12000007,London,1737,1737,0,77.5,740,2.3,531476.3919,165059.6895,POINT (531476.3919 165059.6895),37500,285000,337500,52500,5,0.45
2,77,38.5,38.5,9.192388155,35.25,41.75,0,0,0,0,0,0,2,77,38.5,38.5,9.19,35.25,E01001169,Croydon 028B,E02000221,Croydon 028,E09000008,Croydon,E12000007,London,1680,1680,0,75.1,651,2.6,531663.5656,164257.0304,POINT (531663.5656 164257.0304),32340,347000,385000,38000,3,0.43
12,577,48.08333333,42,20.88260839,34,56.25,4,303,75.75,36.29853073,50,88.75,8,274,-27.67,5.7,-29.12,-54.75,E01001170,Croydon 027E,E02000220,Croydon 027,E09000008,Croydon,E12000007,London,2050,1946,104,79.6,989,2,532281.3674,164408.7906,POINT (532281.3674 164408.7906),36040,299000,290750,-8250,3,0.52
4,371,92.75,97.5,39.6263801,81.25,109,2,150,75,1.414213562,74.5,75.5,2,221,17.75,96.09,-34.87,5.75,E01001172,Croydon 028D,E02000221,Croydon 028,E09000008,Croydon,E12000007,London,1748,1726,22,24.9,616,2.8,531191.0148,163807.7926,POINT (531191.0148 163807.7926),31260,339500,375000,35500,2,0.4
4,239,59.75,50,26.89950433,43.75,66,3,171,57,16.82260384,50.5,66.5,1,68,2.75,33.18,-23.6,-22.75,E01001173,Croydon 028E,E02000221,Croydon 028,E09000008,Croydon,E12000007,London,2561,2547,14,25.2,1089,2.3,531734.2436,163301.4916,POINT (531734.2436 163301.4916),36700,313750,357500,43750,5,0.47
3,96,32,31,2.645751311,30.5,33,2,100,50,0,50,50,1,-4,-18,31,-47.35,-19.5,E01001176,Croydon 011C,E02000204,Croydon 011,E09000008,Croydon,E12000007,London,1902,1899,3,75.4,628,3,530880.0558,167507.8877,POINT (530880.0558 167507.8877),34220,330000,412000,82000,4,0.46
4,169,42.25,32.5,25.56527593,28.5,46.25,1,32,32,0,32,32,3,137,10.25,32.5,-6.43,-3.5,E01001177,Croydon 016C,E02000209,Croydon 016,E09000008,Croydon,E12000007,London,1617,1614,3,55,551,2.9,530358.665,167370.3732,POINT (530358.665 167370.3732),33200,330000,340500,10500,3,0.46
2,147,73.5,73.5,37.4766594,60.25,86.75,0,0,0,0,0,0,2,147,73.5,73.5,37.48,60.25,E01001179,Croydon 016D,E02000209,Croydon 016,E09000008,Croydon,E12000007,London,1534,1534,0,133.9,538,2.9,531059.3534,167241.3495,POINT (531059.3534 167241.3495),35020,330000,357500,27500,5,0.45
3,185,61.66666667,65,30.13856887,47.5,77.5,3,159,53,36.86461718,32,66.5,0,26,8.67,28.14,-1.86,-19,E01001180,Croydon 016E,E02000209,Croydon 016,E09000008,Croydon,E12000007,London,1737,1737,0,113.6,609,2.9,530917.1694,167029.2587,POINT (530917.1694 167029.2587),33260,306120,287500,-18620,3,0.49
2,414,207,207,216.374675,130.5,283.5,2,146,73,39.59797975,59,87,0,268,134,167.4,157.37,43.5,E01001181,Croydon 015E,E02000208,Croydon 015,E09000008,Croydon,E12000007,London,1829,1818,11,125.4,759,2.4,531436.1343,167114.6867,POINT (531436.1343 167114.6867),30660,287500,331500,44000,2,0.56
3,90,30,20,19.97498436,18.5,36.5,0,0,0,0,0,0,3,90,30,20,19.97,18.5,E01001182,Croydon 011D,E02000204,Croydon 011,E09000008,Croydon,E12000007,London,1422,1422,0,109.3,462,3.1,530848.4849,168407.2508,POINT (530848.4849 168407.2508),35380,268500,450000,181500,4,0.35
3,169,56.33333333,25,55.13921774,24.5,72.5,1,32,32,0,32,32,2,137,24.33,25,23.14,-7.5,E01001184,Croydon 011F,E02000204,Croydon 011,E09000008,Croydon,E12000007,London,1349,1349,0,71.5,456,3,530705.0722,168075.9407,POINT (530705.0722000001 168075.9407),36050,390000,470000,80000,6,0.38
4,190,47.5,51.5,20.43689474,35.5,63.5,3,146,48.66666667,2.309401077,48,50,1,44,-1.17,49.19,-27.56,-14.5,E01001185,Croydon 014B,E02000207,Croydon 014,E09000008,Croydon,E12000007,London,1636,1636,0,81.4,717,2.3,534475.0532,167164.3932,POINT (534475.0532 167164.3932),35470,312125,337300,25175,5,0.5
2,79,39.5,39.5,14.8492424,34.25,44.75,2,74,37,7.071067812,34.5,39.5,0,5,2.5,32.43,-19.65,-5.25,E01001186,Croydon 014C,E02000207,Croydon 014,E09000008,Croydon,E12000007,London,1745,1743,2,96.9,841,2.1,534459.9401,167528.0438,POINT (534459.9401 167528.0438),33820,279500,382500,103000,3,0.48
2,178,89,89,56.56854249,69,109,1,33,33,0,33,33,1,145,56,89,23.57,36,E01001187,Croydon 017E,E02000210,Croydon 017,E09000008,Croydon,E12000007,London,1945,1940,5,117,809,2.4,533898.8787,167182.417,POINT (533898.8787 167182.417),35310,310000,410000,100000,5,0.47
9,415,46.11111111,30,26.91395755,27,50,5,314,62.8,38.93199199,32,66,4,101,-16.69,-8.93,-5.09,-39,E01001188,Croydon 014D,E02000207,Croydon 014,E09000008,Croydon,E12000007,London,1833,1818,15,97.5,728,2.5,534223.3079,167827.0127,POINT (534223.3079 167827.0127),33810,345000,415000,70000,3,0.53
6,219,36.5,34.5,10.07472084,30,38.25,3,122,40.66666667,9.018499506,36,45,3,97,-4.17,25.48,-25.93,-15,E01001189,Croydon 045B,E02006788,Croydon 045,E09000008,Croydon,E12000007,London,1211,1211,0,102.7,465,2.6,534933.4715,167498.0907,POINT (534933.4715 167498.0907),36470,415000,430000,15000,5,0.49
9,350,38.88888889,27,30.24253811,22,36,3,136,45.33333333,37.81974793,23.5,56.5,6,214,-6.44,-10.82,6.74,-34.5,E01001190,Croydon 045C,E02006788,Croydon 045,E09000008,Croydon,E12000007,London,1586,1586,0,62.9,616,2.6,534979.9355,168453.949,POINT (534979.9355 168453.949),35780,375000,390000,15000,3,0.46
9,528,58.66666667,51,47.15930449,30,56,4,158,39.5,7.549834435,36.5,41,5,370,19.17,43.45,10.66,-11,E01001191,Croydon 008D,E02000201,Croydon 008,E09000008,Croydon,E12000007,London,1764,1764,0,112.3,823,2.1,534271.9166,168075.0707,POINT (534271.9166 168075.0707),31780,228000,323750,95750,2,0.52
8,320,40,31,25.09410859,27.25,37.5,6,257,42.83333333,20.47844395,23.75,60,2,63,-2.83,10.52,1.34,-32.75,E01001192,Croydon 008E,E02000201,Croydon 008,E09000008,Croydon,E12000007,London,1644,1644,0,88.5,727,2.3,534690.8854,168174.4247,POINT (534690.8854 168174.4247),32830,312500,383925,71425,3,0.52
5,330,66,50,32.09361307,40,90,3,178,59.33333333,41.42865353,35.5,73,2,152,6.67,8.57,-3.41,-33,E01001194,Croydon 045D,E02006788,Croydon 045,E09000008,Croydon,E12000007,London,1572,1572,0,29,624,2.5,535192.0256,168056.3195,POINT (535192.0256000001 168056.3195),37440,375000,425000,50000,5,0.48
16,1282,80.125,37.5,87.41233704,29.75,91.25,5,282,56.4,27.24518306,38,76,11,1000,23.73,10.25,49.41,-46.25,E01001195,Ealing 021A,E02000258,Ealing 021,E09000009,Ealing,E12000007,London,1833,1833,0,44.2,598,3.1,519894.3382,181525.996,POINT (519894.3382 181525.996),39060,682500,689925,7425,7,0.51
14,948,67.71428571,70,38.68497735,38.25,78.75,2,139,69.5,44.54772721,53.75,85.25,12,809,-1.79,25.45,-15.07,-47,E01001196,Ealing 015A,E02000252,Ealing 015,E09000009,Ealing,E12000007,London,1766,1727,39,77.1,762,2.3,520443.904,181213.6849,POINT (520443.904 181213.6849),30930,310000,382500,72500,2,0.51
48,3100,64.58333333,45,48.73411725,35,77,22,1433,65.13636364,44.83970971,44,57,26,1667,-0.55,0.16,4.73,-22,E01001197,Ealing 021B,E02000258,Ealing 021,E09000009,Ealing,E12000007,London,1753,1700,53,43.5,668,2.5,519651.9392,180966.8748,POINT (519651.9392 180966.8748),39150,650000,675000,25000,4,0.48
13,1366,105.0769231,60,97.79013374,35,150,10,1025,102.5,62.4005876,53.25,138.5,3,341,2.58,-2.4,44.54,-103.5,E01001198,Ealing 021C,E02000258,Ealing 021,E09000009,Ealing,E12000007,London,1440,1432,8,131.6,584,2.5,520464.1808,180964.0959,POINT (520464.1808 180964.0959),39360,825000,710000,-115000,6,0.49
20,9087,454.35,150,461.8174936,40,1000,7,1041,148.7142857,101.9112592,72.5,215.5,13,8046,305.64,48.09,389.32,-175.5,E01001199,Ealing 021D,E02000258,Ealing 021,E09000009,Ealing,E12000007,London,1704,1694,10,161.1,694,2.4,520115.217,180850.4053,POINT (520115.217 180850.4053),37900,613109,468750,-144359,4,0.56
14,990,70.71428571,45.5,68.23762618,29,61.25,10,1514,151.4,88.0557904,85.25,217.25,4,-524,-80.69,-42.56,-17.01,-188.25,E01001200,Ealing 025A,E02000262,Ealing 025,E09000009,Ealing,E12000007,London,1516,1508,8,112,586,2.6,520600.3559,180566.977,POINT (520600.3559 180566.977),39710,540000,625000,85000,6,0.54
18,1302,72.33333333,60,48.42094831,34.75,90,9,730,81.11111111,86.22998963,43,54,9,572,-8.78,-26.23,5.42,-19.25,E01001201,Ealing 025B,E02000262,Ealing 025,E09000009,Ealing,E12000007,London,1561,1537,24,127.3,642,2.4,520363.0339,180643.5141,POINT (520363.0339 180643.5141),40660,690278,705000,14722,6,0.57
23,1476,64.17391304,55,30.73294379,47.5,74,15,1060,70.66666667,45.37882871,41.5,78.5,8,416,-6.49,9.62,-10.77,-31,E01001202,Ealing 025C,E02000262,Ealing 025,E09000009,Ealing,E12000007,London,2120,2114,6,129.7,871,2.4,520089.3335,180324.7203,POINT (520089.3335 180324.7203),33610,537500,380000,-157500,2,0.55
23,1484,64.52173913,55,40.87883378,39,70,10,768,76.8,39.55811477,46.25,98.75,13,716,-12.28,15.44,-5.37,-59.75,E01001203,Ealing 025D,E02000262,Ealing 025,E09000009,Ealing,E12000007,London,1734,1732,2,188.1,861,2,520435.9921,180204.8131,POINT (520435.9921 180204.8131),34210,497500,402500,-95000,3,0.55
8,544,68,43,53.74011537,33.5,83.75,3,245,81.66666667,81.73330614,34.5,106.5,5,299,-13.67,-38.73,19.24,-73,E01001204,Ealing 018A,E02000255,Ealing 018,E09000009,Ealing,E12000007,London,1589,1586,3,94.4,585,2.7,516294.4845,181485.1968,POINT (516294.4845 181485.1968),43140,892500,900000,7500,7,0.51
6,252,42,35,22.13594362,26.25,51.25,5,197,39.4,7.469939759,37,38,1,55,2.6,27.53,-14.86,-11.75,E01001205,Ealing 018B,E02000255,Ealing 018,E09000009,Ealing,E12000007,London,1559,1559,0,63.3,598,2.6,516083.9755,181034.5967,POINT (516083.9755 181034.5967),36050,475000,441000,-34000,3,0.54
12,1099,91.58333333,71,74.74861912,39.5,100,9,684,76,31.92961008,56,107,3,415,15.58,39.07,18.75,-67.5,E01001207,Ealing 018D,E02000255,Ealing 018,E09000009,Ealing,E12000007,London,1570,1570,0,98.4,668,2.4,516425.8014,180911.0022,POINT (516425.8014 180911.0022),42030,702500,740000,37500,6,0.58
4,267,66.75,50,50.68448152,36.75,80,6,700,116.6666667,80.46282786,45.5,186.75,-2,-433,-49.92,-30.46,5.18,-150,E01001208,Ealing 018E,E02000255,Ealing 018,E09000009,Ealing,E12000007,London,1366,1366,0,25.3,498,2.7,516343.5075,182190.2966,POINT (516343.5075 182190.2966),46370,807500,912500,105000,7,0.56
8,885,110.625,102.5,61.84297512,67.5,136.25,13,1299,99.92307692,120.2798553,44,89,-5,-414,10.7,-17.78,17.84,-21.5,E01001209,Ealing 013A,E02000250,Ealing 013,E09000009,Ealing,E12000007,London,1712,1712,0,61.9,647,2.6,517057.8886,182346.9761,POINT (517057.8886 182346.9761),50350,785000,815000,30000,9,0.47
4,198,49.5,47.5,23.38803113,36,61,4,158,39.5,7.141428429,35,41,0,40,10,40.36,-11.61,-5,E01001210,Ealing 016A,E02000253,Ealing 016,E09000009,Ealing,E12000007,London,1679,1675,4,74.2,740,2.3,515928.6844,182384.7282,POINT (515928.6844 182384.7282),30790,347500,500000,152500,1,0.45
6,303,50.5,45.5,22.38526301,32.75,63.5,6,533,88.83333333,86.14503275,38,102.25,0,-230,-38.33,-40.65,-15.61,-69.5,E01001211,Ealing 013B,E02000250,Ealing 013,E09000009,Ealing,E12000007,London,1702,1649,53,94.5,705,2.3,517257.4399,181957.94,POINT (517257.4399 181957.94),44860,543000,453500,-89500,8,0.56
9,573,63.66666667,55,32.86715686,42,90,7,750,107.1428571,103.5815759,25.5,145.5,2,-177,-43.48,-48.58,7.37,-103.5,E01001212,Ealing 018F,E02000255,Ealing 018,E09000009,Ealing,E12000007,London,1667,1534,133,58.4,691,2.2,516736.347,181801.6923,POINT (516736.347 181801.6923),43840,525000,440000,-85000,7,0.51
5,295,59,35,54.95907568,30,49,0,0,0,0,0,0,5,295,59,35,54.96,30,E01001215,Ealing 023C,E02000260,Ealing 023,E09000009,Ealing,E12000007,London,1765,1765,0,101.5,552,3.2,512890.2808,180569.5926,POINT (512890.2808 180569.5926),29870,263000,397500,134500,3,0.46
2,65,32.5,32.5,3.535533906,31.25,33.75,0,0,0,0,0,0,2,65,32.5,32.5,3.54,31.25,E01001217,Ealing 014A,E02000251,Ealing 014,E09000009,Ealing,E12000007,London,1539,1539,0,82.3,455,3.4,513631.5802,181512.3869,POINT (513631.5802 181512.3869),34540,425000,448000,23000,6,0.44
29,2930,101.0344828,84,58.29572562,55,151,27,3918,145.1111111,86.35763444,94.5,189.5,2,-988,-44.08,-2.36,-36.2,-134.5,E01001221,Ealing 020A,E02000257,Ealing 020,E09000009,Ealing,E12000007,London,1861,1837,24,61.5,952,1.9,517771.7886,180754.0405,POINT (517771.7886 180754.0405),42540,600000,600000,0,4,0.64
10,681,68.1,49,36.8735075,45,78.25,7,317,45.28571429,7.631388815,41,49,3,364,22.81,41.37,-4.13,-4,E01001222,Ealing 019A,E02000256,Ealing 019,E09000009,Ealing,E12000007,London,2384,2381,3,126,1150,2.1,516893.9487,180705.8595,POINT (516893.9487 180705.8595),41430,475000,535000,60000,4,0.59
2,236,118,118,45.254834,102,134,6,917,152.8333333,139.2514512,63.25,172.75,-4,-681,-34.83,-21.25,-18,-70.75,E01001223,Ealing 020B,E02000257,Ealing 020,E09000009,Ealing,E12000007,London,1517,1408,109,67.9,643,2.2,517997.6405,181580.3107,POINT (517997.6405 181580.3107),47330,615000,691250,76250,7,0.56
